Tip localitate,LOCALITATE,JUDET,Ani,CUI,CAEN,ACTIVE IMOBILIZATE-TOTAL,ACTIVE CIRCULANTE-TOTAL,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI-TOTAL,Capital subscris varsat,Patromoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati,DENUMIRE,COD_INMATRICULARE,ADRESA COMPLETA
Sat,Floreşti,Cluj,01.01.2016,31170668,5610,112707,117670,26218,78573,12879,,146522,,,83855,200,,1963268,1413121,1338324,74797,0,63633,0,12,STRIDENT TEAM  SRL,J12/294/2013,"Sat Floreşti, Comuna Floreşti, Str. AVRAM IANCU, Nr. 506-508, corp A, Etaj 3, Județ Cluj,,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2017,31170668,5610,32896,173950,4872,162308,6770,1314,50567,1355,,156238,200,,1051799,1117277,1032528,84749,0,72384,0,,STRIDENT TEAM  SRL,J12/294/2013,"Sat Floreşti, Comuna Floreşti, Str. AVRAM IANCU, Nr. 506-508, corp A, Etaj 3, Județ Cluj,,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2019,38991180,5610,13550,43563,458,2131,40974,,37961,,,19152,200,,133120,133120,83144,49976,0,48649,0,2,GRANDMAS LANGOS S.R.L.,J12/856/2018,"Sat Floreşti, Comuna Floreşti, Str. Urusagului, Nr. 22E, Județ Cluj,,,,,,,,,,,,,,,,,"
Sat,Vâlcele,Cluj,01.01.2019,18319941,5610,599033,742706,10520,729163,3023,,486197,,,855542,210,,1015135,1015135,864665,150470,0,140319,0,8,DENTEVA S.R.L.,J12/899/2018,"Sat Vâlcele, Comuna Feleacu, Nr. 112, Județ Cluj,,,,,,,,,,,,,,,,,"
Sat,Vâlcele,Cluj,01.01.2016,18319941,5610,23624,329719,41373,224003,64343,,121565,,,231778,210,,696733,698107,522321,175786,0,171996,0,5,DENTEVA S.R.L.,J12/899/2018,"Sat Vâlcele, Comuna Feleacu, Nr. 112, Județ Cluj,,,,,,,,,,,,,,,,,"
Sat,Vâlcele,Cluj,01.01.2017,18319941,5610,671857,335428,,199409,136019,,513983,,,493302,210,,817503,817503,547930,269573,0,261484,0,5,DENTEVA S.R.L.,J12/899/2018,"Sat Vâlcele, Comuna Feleacu, Nr. 112, Județ Cluj,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,31965060,5610,7292,8791,,8787,4,,119502,,,-103419,200,,20972,28613,62970,0,34357,0,34557,1,SISPA SRL,J12/2143/2013,"Municipiul Cluj-Napoca, Str. DONATH, Nr. 170, Bloc A11, Etaj V, Apartament 23, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,31965060,5610,,13849,1116,12322,411,,165219,,,-151370,200,,18695,18695,66501,0,47806,0,47951,1,SISPA SRL,J12/2143/2013,"Municipiul Cluj-Napoca, Str. DONATH, Nr. 170, Bloc A11, Etaj V, Apartament 23, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,31965060,5610,32449,354,,,354,,68674,,,-35871,200,,71155,71490,104991,0,33501,0,35636,2,SISPA SRL,J12/2143/2013,"Municipiul Cluj-Napoca, Str. DONATH, Nr. 170, Bloc A11, Etaj V, Apartament 23, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,31965060,5610,19792,23737,,4035,19702,,112391,,,-68862,200,,32099,32099,64806,0,32707,0,32990,2,SISPA SRL,J12/2143/2013,"Municipiul Cluj-Napoca, Str. DONATH, Nr. 170, Bloc A11, Etaj V, Apartament 23, Județ Cluj,,,,,,,,,,,,,,,"
